coda_row_id	arda_eid	matched_via
i-f02346ebed4331cf52dfbce68c4332febce0f056ca88fc69e13daca6868bdfbe	270db195-8c44-4b55-a61d-989ace16cfac	numeric-base
i-9c6ec57476054ec4655eb9cd3ace3b8888535400888cbf86844fb87e03975ddc	80421508-bce2-4ae6-b577-41249ebb647a	description
i-120054605bbe1ae0f754f734049e2afd6d516ca953cb4f4d0fc3191f5ed157e8	e74c25db-52f2-4a0a-a4c8-2fc979e4fd26	description
i-85a41a4a237250d57269a87bf41b752f32f0b63c9452af71468100803b8bfd4f	e8809a9c-fe59-4955-aa65-3743d99cf39b	description
i-533634c9d5dacfcdd2715039ad95647f347042eef61ada7707e8487dd631c030	a36c990f-ae0e-4591-8ce0-b9e5abaa79d4	description
i-f6b122d0a466ce66eb700505e3c5a5832fc9f1b3ed9414e496b8904a13f88e4c	454ec974-a9dc-44a8-b9f0-e1c38f1c99eb	description
i-dd2e8eb17f06276a2dee06df6b21dcdde775a80e6b50116303a2cd5184447ee8	fd2e66b5-bd9d-4a47-81fd-7621cb2ecb5b	description
i-b6e5430e2e6fb97432f442e2f6da97e5aa53431a2e8d36833d7641f5dd40775b	fab55461-fa6b-4733-a28f-9853b181f7ba	description
i-a1d46fa181f4149f75084638332043fc526fc356bfbc271c51e6afbf0011cdda	7f8d5dd9-90fb-4322-9a19-246ed3447da9	description
i-2d28d6a35bfbd5631a83fdf9e4c784ea3cff0e2c3ca4b9b3707260e4ae550b7a	e292d22e-d5d2-460b-9f2e-40e01d45279e	description
i-4910112e55ad6393f3852dfecfc5ae93678c129c09881d53f62c1d8ffb5351d3	521a4df2-20cd-4244-83ab-572811d95478	description
i-472f80893b36603e8b2919daaa004990beaebee26d3de92d32fe079f139f431b	0c745466-68aa-43f8-8445-771947cb3f02	description
i-716a099a602cd9913bda752aba244ad1777e0bc27e0f06f4ab7d8cf91461726e	740af244-e669-4b68-8d0d-a6cb7bd6067d	description
i-0ceb54c62b047fbaf21763022bc099c7d6395bd0cb0e1645ca9cacbeb0db058e	89fa4e8d-31ae-4a65-917a-8930b5b07d91	description
i-43ae053f7d1435c32269c3d152dcb6d858333221a07819776b25ef2bf340bd16	e2e6406a-2d62-44e1-8d26-8e6f4fb5380a	description
i-3d49bd159902178a84c65eb3436a05509a930e93aead3bb4d7bf0b102c6e864a	12d28a1e-8848-4184-8d4c-af82846d5419	description
i-8ce26ef0410543d10c15e3d225a05920673fbcbbfaf967e13c70b1933ed2d17f	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-63b7dd9df8617ec0a11d80720285768f9606252c6a457ad24d8b1e96f0010ebe	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-2da9995147c7a1f213462fdf6164e1398d37eb44fedd2b6f7f422053ca0bd56b	0813d3fa-bc82-4ce5-a553-7764c6ddc655	description
i-8d5438840b029e8fa88acc8dc52b2434cd866a23ce669e2e4357093dddf9ae17	e0ce5bc8-aed4-4b98-8e89-ad2786e86816	description
i-6af96fc6df2452f7635533e6b962f873db52f6800f1fe795f3ac6e1424e35921	7940c1b3-2189-48c9-892a-5c1f82c0a927	description
i-f0db6efe50e95fd8b8e1f9c49a548713d9a5c01965e4c5a91adacff28bd25898	b1732548-0010-4058-bb7a-49f4d4ba6a17	description
i-5cffd3285b6b6df0ecf431154e07000ec8fec4c896b26dd976a435a30fe52d32	4c571571-b9ed-4a87-9150-7ae7db3a0e1d	description
i-0490dd5ddd4b265a6dec2921c77edc9faf15f08e9e580c2c276bd610cb2d810f	4ae32a86-d2a9-4966-9e28-f6746cec9629	description
i-6baf2eeb8ec4c1922a8be794b503a7854346ace650001531a0b9dbf65e0d4c48	facc174b-d3f4-42ea-a439-0df0d6b4cf2d	description
i-aa4fc7d9d6cb0595fad35a9f0a711987a5b30dd0a2adabd85ef3e0be8e1d0f21	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-470ddeb836a197d665e5c7cf96eecb95d1e337ba6d6c79240caef8f726ead35d	9b5aa7bb-3b45-4288-97cb-291fc06a4a08	description
i-85c4ae34bb1adf37e1b23bc8681f46d74622dfd175242ed3e0afe41850dc4195	6749d1a7-4c6c-4aac-9960-014f81e29732	description
i-9abc924d7df4bf844c94ea6f63668b824ceaa36a6e7a2528f86b08372de2fb83	55e25ecf-ff56-47a6-9c18-7d77f10dcee7	description
i-7cd6cf43c1ed978399b4461201ab8402daaeab7426f90cf194feae1971fec82d	c25f09ee-1756-4c3a-85d8-af2e28ef6308	description
i-b0627cd8ab41813d422b40489bef659731d477bc3abce5a0cc044ef30de0a799	9b8700c0-ca23-42b9-b851-1d42527dc925	description
i-b39bc13f4f21d367e8c404d07c3ed8efb228833dea2121aed15f226eeff757c1	0b1d76a0-f8de-4f39-a2c9-e0cbf3291c74	numeric-base
i-a71812021ad9b7545d7d9a64408b9ff76c4cf9e6ad226dc43504ded1ffd78e34	a5cdcdda-cf49-4db2-ad9f-223dbbebd282	description
i-bf52a8c5759d3bd355d1afcfb824a7d96bfa3270ec2efea7be5f013ec357b8db	2cd9d81e-c0d7-47f3-a9bc-2e01cf9ada43	description
i-14374b08f235f1bc13aaf5f1a3281b54adab3c5528818fd9e170e290f56ed2d3	1d21341c-2e57-4fd4-8151-dfd5e38d0b1a	description
i-87c9a909913665218280f489260154bc840390eb9d3dc8459353f1487da29261	25710fd0-65cf-4a12-afc8-efab656d2a32	description
i-aac3d1c11354dd54eef0f73c40e92886c3d59eb25bce6159432cfbf014e9f86e	f9bacc57-b301-4643-8eb0-01bf29119eb7	description
i-7f44c4039f61ed7daa4584c9218a570e76142c937939995d4462521ad63fdd89	513b8659-113e-4366-b955-035351ef5379	description
i-dd1dbf5c2d737cb619963de5df023bcb3dd78b101a20e089b5eef30e8156c1a7	9246ee33-d1be-46a8-9023-3bcf3fed014a	description
i-2ed0d960694bea088e614411e6ddc6b8b7c3b0b1288ce1393c88880e2e69d7b2	5b5afad9-b967-45e1-b053-90aec42b8e4d	description
i-95cabbb2533d12e934ca042fe28c2647a3d69efa26a1edd24afab6b93607323e	fffd1af0-7399-4361-a9fa-0be78ac2865b	description
i-2c72f64e22ac83d262bd330e7362eacdb634e137b2ee52b77bafc6c5bcd197ae	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-fceebf32eac9b20d9ca2c54371369d0393e4f86a7cb684444a963fcb0669b887	d9da4c02-20b3-458e-b0fa-dbdf0c5fb9b0	description
i-fb6200f281d977609132d425f2542c2240ca9eb2729ede612b52376ec02be919	271e6408-6e35-4236-9fd6-e8a46b52c09a	description
i-73ff49120f4314ebd617ad349e108852032bb37b04c776ad72e2c4aa4d03746e	f3f0ec30-985a-4f30-a85a-7b5db37191fc	description
i-84f26f24ff291ecd0dbde5074c2402c3ef45f4e80d1981b29734f86719aca31b	d0d2da29-5e21-4249-89b1-f6aed927ab77	description
i-081a5b9ffdeb4955cb6c23140c8df646dc947b8cdc82eea84cd194f99cd96bf5	178dcaa0-d8d4-487b-8547-1d3fb5f8fce4	description
i-d1b5912d3daf17ff3753a5ce8f08b38d83a949271a17269d2b540d56746c0bde	8f3cb37e-fab9-43cd-a741-4ab7a4ba80d2	description
i-1c9473d93aeaf2874ede7eb224f29d641760af86d31a5f34c8b2d4c1e70da2b0	53b94b1e-bfe8-4280-b34b-8c9106bd6aa1	description
i-9ff771df852f41bc0b8a9eb443e6f1d28632c27aae48c53ac6133b0be150c71b	d6b6b01d-6d2f-4bf3-91de-947a5b86b3f7	numeric-base
i-3a14c3b12fc8600a6d79abc53daed5c90050043de04c38e1abb178767c50c38a	6d2adf3d-d462-450d-800a-ca29c862c55a	description
i-13eab0b113efb957087ea5cefeee0e52896d5e0d54877becdfb54f4ca178916d	daf811c6-2728-4c82-b763-02050c183c61	numeric-base
i-266853ad7d3a4815087d1ac4841aa12c39894c8b8e9073a2a32bea21f79ceb34	8611c582-2637-4b9f-a042-f4271c6061c0	description
i-e8eb7b5b59c260a422c5df70c935890718fce29acdc566c7f4e2b682754a6698	c01038dc-4922-4c8f-a358-e930bb73f706	description
i-134f4f69b047e0e5ef43850793fc142bd57bd7bd4c63faa86daaba5766dd11fc	b7418ba1-4119-4318-84e6-0912da9e662f	numeric-base
i-028004fe2a0aba6825735ca2772d8d7b7d8dc3a2350d648ba8d9c2845a441551	4714dead-d5bd-458c-be75-8f87d8bbe406	numeric-base
i-2c42967bf8bef341202f9327be64269ed75f337e5fa43f6d1daee6069ddda4c4	6c85fe46-c9a0-47ff-83de-c1dcf247b244	description
i-98a96dc80d24204b95813c6ca8b53cbed379e844b26977f928c7eb1d2a67b1e4	997fa394-98b6-448e-b26a-c74777950b15	description
i-2af2640d55a46d69f0dc75ab9c0ca92ec9f5d894c1fb56647a4eb065bdbf9c2c	d270d144-2fcb-4ddb-8f5a-48e589581d08	description
